Bereich;Projekt;Namespace;Typ;Member;Wartbarkeitsindex;Zyklomatische Komplexität;Vererbungstiefe;Klassenkopplung;Zeilen von Quellcode;Zeilen von ausführbarem Code
Assembly;Backend (Debug); ; ; ;83;498;2;183;4640;891
Typ;Backend (Debug); ;Program; ;33;8;1;49;99;82
Member;Backend (Debug); ;Program;<Main>$(string[]) : void;43;4;;49;99;41
Namespace;Backend (Debug);Backend.Controllers; ; ;67;37;2;53;485;137
Typ;Backend (Debug);Backend.Controllers;ClientExchangeController; ;63;20;2;35;318;104
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;RECEIVE_BUFFER_SIZE : int;93;0;;0;1;1
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;avReceiverService : IAvReceiverService;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;speechBubbleListService : ISpeechBubbleListService;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;speechmaticsConnectionService : ISpeechmaticsConnectionService;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;speechmaticsReceiveService : ISpeechmaticsReceiveService;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;speechmaticsSendService : ISpeechmaticsSendService;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;subtitleExporterService : ISubtitleExporterService;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;configuration : IConfiguration;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;log : ILogger;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;alreadyConnected : bool;93;0;;0;1;1
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;clientTimeout : TimeSpan;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;ClientExchangeController(IAvReceiverService, ISpeechBubbleListService, ISpeechmaticsConnectionService, ISpeechmaticsReceiveService, ISpeechmaticsSendService, ISubtitleExporterService, IConfiguration, ILogger);63;1;;11;31;9
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;makeConnectionTimeoutToken() : CancellationToken;91;1;;3;4;1
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;Get() : Task;45;7;;18;61;31
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;receiveFormatInformation(WebSocket) : Task<string>;72;1;;4;18;5
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;validateAndSetFormat(string, WebSocket) : Task<bool>;63;1;;9;34;10
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;connectToSpeechmatics(WebSocket) : Task<bool>;61;2;;8;32;11
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;setupSpeechmaticsState(CancellationTokenSource) : Task<Task>;65;1;;11;24;8
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;sendEndOfStreamMessage(CancellationTokenSource) : Task;71;1;;7;18;5
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;closeConnectionWithClient(WebSocket, CancellationTokenSource) : Task;69;2;;7;24;6
Member;Backend (Debug);Backend.Controllers;ClientExchangeController;receiveFormatSpecification(WebSocket) : Task<string>;56;3;;10;37;16
Typ;Backend (Debug);Backend.Controllers;ConfigurationController; ;62;12;2;20;80;24
Member;Backend (Debug);Backend.Controllers;ConfigurationController;dictionaryService : IConfigurationService;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ConfigurationController;logger : ILogger;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;ConfigurationController;validDelayLengths : double[];81;0;;0;1;1
Member;Backend (Debug);Backend.Controllers;ConfigurationController;ConfigurationController(IConfigurationService, ILogger);82;2;;5;9;2
Member;Backend (Debug);Backend.Controllers;ConfigurationController;UploadCustomDictionary(ConfigurationData?) : IActionResult;50;10;;16;54;21
Typ;Backend (Debug);Backend.Controllers;SpeechBubbleController; ;77;5;2;14;64;9
Member;Backend (Debug);Backend.Controllers;SpeechBubbleController;speechBubbleListService : ISpeechBubbleListService;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;SpeechBubbleController;applicationLifetime : IHostApplicationLifetime;100;0;;1;1;0
Member;Backend (Debug);Backend.Controllers;SpeechBubbleController;SpeechBubbleController(ISpeechBubbleListService, IHostApplicationLifetime);85;1;;3;11;2
Member;Backend (Debug);Backend.Controllers;SpeechBubbleController;HandleUpdatedSpeechBubble(SpeechBubbleChainJson) : IActionResult;71;3;;11;22;5
Member;Backend (Debug);Backend.Controllers;SpeechBubbleController;HandleRestartRequest() : IActionResult;86;1;;5;12;2
Namespace;Backend (Debug);Backend.Data; ; ;91;53;1;6;283;31
Typ;Backend (Debug);Backend.Data;AdditionalVocab; ;93;6;1;1;28;3
Member;Backend (Debug);Backend.Data;AdditionalVocab;content : string;100;2;;0;6;0
Member;Backend (Debug);Backend.Data;AdditionalVocab;content.get() : string;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;AdditionalVocab;content.set(string) : void;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;AdditionalVocab;sounds_like : List<string>;100;2;;1;4;0
Member;Backend (Debug);Backend.Data;AdditionalVocab;sounds_like.get() : List<string>;100;1;;1;1;0
Member;Backend (Debug);Backend.Data;AdditionalVocab;sounds_like.set(List<string>) : void;100;1;;1;1;0
Member;Backend (Debug);Backend.Data;AdditionalVocab;AdditionalVocab(string, List<string>);76;2;;1;10;3
Typ;Backend (Debug);Backend.Data;ConfigurationData; ;95;5;1;1;26;2
Member;Backend (Debug);Backend.Data;ConfigurationData;dictionary : StartRecognitionMessage_TranscriptionConfig;100;2;;1;4;0
Member;Backend (Debug);Backend.Data;ConfigurationData;dictionary.get() : StartRecognitionMessage_TranscriptionConfig;100;1;;1;1;0
Member;Backend (Debug);Backend.Data;ConfigurationData;dictionary.set(StartRecognitionMessage_TranscriptionConfig) : void;100;1;;1;1;0
Member;Backend (Debug);Backend.Data;ConfigurationData;delayLength : float;100;2;;0;4;0
Member;Backend (Debug);Backend.Data;ConfigurationData;delayLength.get() : float;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;ConfigurationData;delayLength.set(float) : void;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;ConfigurationData;ConfigurationData(StartRecognitionMessage_TranscriptionConfig, float);85;1;;1;10;2
Typ;Backend (Debug);Backend.Data;SpeechBubble; ;92;13;1;3;53;6
Member;Backend (Debug);Backend.Data;SpeechBubble;SpeechBubble(long, int, double, double, List<WordToken>);69;1;;3;17;6
Member;Backend (Debug);Backend.Data;SpeechBubble;Id : long;100;2;;0;4;0
Member;Backend (Debug);Backend.Data;SpeechBubble;Id.get() : long;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;Id.set(long) : void;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;Speaker : int;100;2;;0;4;0
Member;Backend (Debug);Backend.Data;SpeechBubble;Speaker.get() : int;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;Speaker.set(int) : void;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;StartTime : double;100;2;;0;4;0
Member;Backend (Debug);Backend.Data;SpeechBubble;StartTime.get() : double;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;StartTime.set(double) : void;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;EndTime : double;100;2;;0;4;0
Member;Backend (Debug);Backend.Data;SpeechBubble;EndTime.get() : double;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;EndTime.set(double) : void;100;1;;0;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;CreationTime : DateTime;100;2;;1;4;0
Member;Backend (Debug);Backend.Data;SpeechBubble;CreationTime.get() : DateTime;100;1;;1;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;CreationTime.set(DateTime) : void;100;1;;1;1;0
Member;Backend (Debug);Backend.Data;SpeechBubble;SpeechBubbleContent : List<WordToken>;100;2;;2;4;0
Member;Backend (Debug);Backend.Data;SpeechBubble;SpeechBubbleContent.get() : List<WordToken>;100;1;;2;1;0
